"DRXFDCD"	"DRXFCSD"	"DRXFCLD"
53105500	"CAKE, CHOCOLATE, WITH ICING, DIET"	"Cake, chocolate, with icing, diet"
53106500	"CAKE, CREAM, WITHOUT ICING OR TOPPING"	"Cake, cream, without icing or topping"
53108200	"SNACK CAKE, CHOCOLATE, WITH ICING OR FILLING"	"Snack cake, chocolate, with icing or filling"
53108220	"SNACK CAKE, CHOCOLATE, WITH ICING OR FILLING, REDUCED FAT AN"	"Snack cake, chocolate, with icing or filling, reduced fat and calories"
53109200	"SNACK CAKE, NOT CHOCOLATE, WITH ICING OR FILLING"	"Snack cake, not chocolate, with icing or filling"
53109220	"SNACK CAKE, NOT CHOCOLATE, WITH ICING OR FILLING, REDUCED FA"	"Snack cake, not chocolate, with icing or filling, reduced fat and calories"
53109300	"CAKE, DOBOS TORTE"	"Cake, Dobos Torte"
53110000	"CAKE, FRUIT CAKE, LIGHT OR DARK, HOLIDAY TYPE CAKE"	"Cake, fruit cake, light or dark, holiday type cake"
53111000	"CAKE OR CUPCAKE, GINGERBREAD"	"Cake or cupcake, gingerbread"
53112000	"CAKE, ICE CREAM AND CAKE ROLL, CHOCOLATE"	"Cake, ice cream and cake roll, chocolate"
53112100	"CAKE, ICE CREAM AND CAKE ROLL, NOT CHOCOLATE"	"Cake, ice cream and cake roll, not chocolate"
53113000	"CAKE, JELLY ROLL"	"Cake, jelly roll"
53114000	"CAKE OR CUPCAKE, LEMON, WITHOUT ICING OR FILLING"	"Cake or cupcake, lemon, without icing or filling"
53114100	"CAKE OR CUPCAKE, LEMON, WITH ICING OR FILLING"	"Cake or cupcake, lemon, with icing or filling"
53115100	"CAKE OR CUPCAKE, MARBLE, WITHOUT ICING OR FILLING"	"Cake or cupcake, marble, without icing or filling"
53115200	"CAKE OR CUPCAKE, MARBLE, WITH ICING OR FILLING"	"Cake or cupcake, marble, with icing or filling"
53115310	"CAKE OR CUPCAKE, NUT, WITHOUT ICING OR FILLING"	"Cake or cupcake, nut, without icing or filling"
53115320	"CAKE OR CUPCAKE, NUT, WITH ICING OR FILLING"	"Cake or cupcake, nut, with icing or filling"
53115410	"CAKE OR CUPCAKE, OATMEAL"	"Cake or cupcake, oatmeal"
53115450	"CAKE OR CUPCAKE, PEANUT BUTTER"	"Cake or cupcake, peanut butter"
53116000	"CAKE, POUND, WITHOUT ICING OR FILLING"	"Cake, pound, without icing or filling"
53116020	"CAKE, POUND, WITH ICING OR FILLING"	"Cake, pound, with icing or filling"
53116270	"CAKE, POUND, CHOCOLATE"	"Cake, pound, chocolate"
53116350	"CAKE, POUND, PUERTO RICAN STYLE"	"Cake, pound, Puerto Rican style"
53116390	"CAKE, POUND, REDUCED FAT, CHOLESTEROL FREE"	"Cake, pound, reduced fat, cholesterol free"
53116500	"CAKE OR CUPCAKE, PUMPKIN, WITHOUT ICING OR FILLING"	"Cake or cupcake, pumpkin, without icing or filling"
53116510	"CAKE OR CUPCAKE, PUMPKIN, WITH ICING OR FILLING"	"Cake or cupcake, pumpkin, with icing or filling"
53116550	"CAKE OR CUPCAKE, RAISIN-NUT"	"Cake or cupcake, raisin-nut"
53116570	"CAKE, RAVANI"	"Cake, Ravani"
53116600	"CAKE, RICE FLOUR, WITHOUT ICING OR FILLING"	"Cake, rice flour, without icing or filling"
53116650	"CAKE, QUEZADILLA, EL SALVADORIAN STYLE"	"Cake, Quezadilla, El Salvadorian style"
53117100	"CAKE OR CUPCAKE, SPICE, WITHOUT ICING OR FILLING"	"Cake or cupcake, spice, without icing or filling"
53117200	"CAKE OR CUPCAKE, SPICE, WITH ICING OR FILLING"	"Cake or cupcake, spice, with icing or filling"
53118100	"CAKE, SPONGE, WITHOUT ICING OR FILLING"	"Cake, sponge, without icing or filling"
53118200	"CAKE, SPONGE, WITH ICING OR FILLING"	"Cake, sponge, with icing or filling"
53118300	"CAKE, SPONGE, CHOCOLATE"	"Cake, sponge, chocolate"
53118410	"RUM CAKE, WITHOUT ICING"	"Rum cake, without icing"
53118500	"CAKE, TORTE"	"Cake, torte"
53118550	"CAKE, TRES LECHE"	"Cake, tres leche"
53119000	"CAKE, PINEAPPLE, UPSIDE DOWN"	"Cake, pineapple, upside down"
53120270	"CAKE OR CUPCAKE, WHITE, WITH ICING OR FILLING"	"Cake or cupcake, white, with icing or filling"
53120275	"CAKE OR CUPCAKE, WHITE, WITHOUT ICING OR FILLING"	"Cake or cupcake, white, without icing or filling"
53121270	"CAKE OR CUPCAKE, YELLOW, WITH ICING OR FILLING"	"Cake or cupcake, yellow, with icing or filling"
53121275	"CAKE OR CUPCAKE, YELLOW, WITHOUT ICING OR FILLING"	"Cake or cupcake, yellow, without icing or filling"
53122070	"CAKE, SHORTCAKE, BISCUIT TYPE, WITH WHIPPED CREAM AND FRUIT"	"Cake, shortcake, biscuit type, with whipped cream and fruit"
53122080	"CAKE, SHORTCAKE, BISCUIT TYPE, WITH FRUIT"	"Cake, shortcake, biscuit type, with fruit"
53123070	"CAKE, SHORTCAKE, SPONGE TYPE, WITH WHIPPED CREAM AND FRUIT"	"Cake, shortcake, sponge type, with whipped cream and fruit"
53123080	"CAKE, SHORTCAKE, SPONGE TYPE, WITH FRUIT"	"Cake, shortcake, sponge type, with fruit"
53123500	"CAKE, SHORTCAKE, WITH WHIPPED TOPPING AND FRUIT, DIET"	"Cake, shortcake, with whipped topping and fruit, diet"
53124110	"CAKE OR CUPCAKE, ZUCCHINI"	"Cake or cupcake, zucchini"
53200100	"COOKIE, BATTER OR DOUGH, RAW"	"Cookie, batter or dough, raw"
53201000	"COOKIE, NFS"	"Cookie, NFS"
53202000	"COOKIE, ALMOND"	"Cookie, almond"
53203000	"COOKIE, APPLESAUCE"	"Cookie, applesauce"
53203500	"COOKIE, BISCOTTI"	"Cookie, biscotti"
53204000	"COOKIE, BROWNIE, NS AS TO ICING"	"Cookie, brownie, NS as to icing"
53204010	"COOKIE, BROWNIE, WITHOUT ICING"	"Cookie, brownie, without icing"
53204100	"COOKIE, BROWNIE, WITH ICING OR FILLING"	"Cookie, brownie, with icing or filling"
53204840	"COOKIE, BROWNIE, REDUCED FAT, NS AS TO ICING"	"Cookie, brownie, reduced fat, NS as to icing"
53204860	"COOKIE, BROWNIE, FAT FREE, NS AS TO ICING"	"Cookie, brownie, fat free, NS as to icing"
53205250	"COOKIE, BUTTERSCOTCH, BROWNIE"	"Cookie, butterscotch, brownie"
53205260	"COOKIE, BAR, WITH CHOCOLATE"	"Cookie, bar, with chocolate"
53206000	"COOKIE, CHOCOLATE CHIP"	"Cookie, chocolate chip"
53206020	"COOKIE, CHOCOLATE CHIP, MADE FROM HOME RECIPE OR PURCHASED A"	"Cookie, chocolate chip, made from home recipe or purchased at a bakery"
53206030	"COOKIE, CHOCOLATE CHIP, REDUCED FAT"	"Cookie, chocolate chip, reduced fat"
53206100	"COOKIE, CHOCOLATE CHIP SANDWICH"	"Cookie, chocolate chip sandwich"
53206500	"COOKIE, CHOCOLATE, MADE WITH RICE CEREAL"	"Cookie, chocolate, made with rice cereal"
53206550	"COOKIE, CHOCOLATE, MADE WITH OATMEAL AND COCONUT, NO BAKE"	"Cookie, chocolate, made with oatmeal and coconut, no bake"
53207000	"COOKIE, CHOCOLATE OR FUDGE"	"Cookie, chocolate or fudge"
53207020	"COOKIE, CHOCOLATE OR FUDGE, REDUCED FAT"	"Cookie, chocolate or fudge, reduced fat"
53207050	"COOKIE, CHOCOLATE, WITH CHOCOLATE FILLING OR COATING, FAT FR"	"Cookie, chocolate, with chocolate filling or coating, fat free"
53208000	"COOKIE, MARSHMALLOW, CHOCOLATE-COVERED"	"Cookie, marshmallow, chocolate-covered"
53208200	"COOKIE, MARSHMALLOW PIE, CHOCOLATE COVERED"	"Cookie, marshmallow pie, chocolate covered"
53209005	"COOKIE, CHOCOLATE, WITH ICING OR COATING"	"Cookie, chocolate, with icing or coating"
53209010	"COOKIE, SUGAR WAFER, CHOCOLATE-COVERED"	"Cookie, sugar wafer, chocolate-covered"
53209015	"COOKIE, CHOCOLATE SANDWICH"	"Cookie, chocolate sandwich"
53209020	"COOKIE, CHOCOLATE SANDWICH, REDUCED FAT"	"Cookie, chocolate sandwich, reduced fat"
53209100	"COOKIE, CHOCOLATE, SANDWICH, WITH EXTRA FILLING"	"Cookie, chocolate, sandwich, with extra filling"
53209500	"COOKIE, CHOCOLATE AND VANILLA SANDWICH"	"Cookie, chocolate and vanilla sandwich"
53210000	"COOKIE, CHOCOLATE WAFER"	"Cookie, chocolate wafer"
53210900	"COOKIE, GRAHAM CRACKER WITH CHOCOLATE AND MARSHMALLOW"	"Cookie, graham cracker with chocolate and marshmallow"
53211000	"COOKIE BAR, WITH CHOCOLATE, NUTS, AND GRAHAM CRACKERS"	"Cookie bar, with chocolate, nuts, and graham crackers"
53215500	"COOKIE, COCONUT"	"Cookie, coconut"
53220000	"COOKIE, FRUIT-FILLED BAR"	"Cookie, fruit-filled bar"
53220010	"COOKIE, FRUIT-FILLED BAR, FAT FREE"	"Cookie, fruit-filled bar, fat free"
53220030	"COOKIE, FIG BAR"	"Cookie, fig bar"
53220040	"COOKIE, FIG BAR, FAT FREE"	"Cookie, fig bar, fat free"
53222010	"COOKIE, FORTUNE"	"Cookie, fortune"
53222020	"COOKIE, CONE SHELL, ICE CREAM TYPE, WAFER OR CAKE"	"Cookie, cone shell, ice cream type, wafer or cake"
53223000	"COOKIE, GINGERSNAPS"	"Cookie, gingersnaps"
53223100	"COOKIE, GRANOLA"	"Cookie, granola"
53224000	"COOKIE, LADYFINGER"	"Cookie, ladyfinger"
53224250	"COOKIE, LEMON BAR"	"Cookie, lemon bar"
53225000	"COOKIE, MACAROON"	"Cookie, macaroon"
53226000	"COOKIE, MARSHMALLOW, WITH COCONUT"	"Cookie, marshmallow, with coconut"
53226500	"COOKIE, MARSHMALLOW, WITH RICE CEREAL, NO BAKE"	"Cookie, marshmallow, with rice cereal, no bake"
53226550	"COOKIE, MARSHMALLOW, WITH RICE CEREAL AND CHOCOLATE CHIPS"	"Cookie, marshmallow, with rice cereal and chocolate chips"
53226600	"COOKIE, MARSHMALLOW AND PEANUT BUTTER, WITH OAT CEREAL, NO B"	"Cookie, marshmallow and peanut butter, with oat cereal, no bake"
53228000	"COOKIE, MERINGUE"	"Cookie, meringue"
53230000	"COOKIE, MOLASSES"	"Cookie, molasses"
53231000	"COOKIE, LEBKUCHEN"	"Cookie, Lebkuchen"
53231400	"COOKIE, MULTIGRAIN, HIGH FIBER"	"Cookie, multigrain, high fiber"
53233000	"COOKIE, OATMEAL"	"Cookie, oatmeal"
53233010	"COOKIE, OATMEAL, WITH RAISINS"	"Cookie, oatmeal, with raisins"
53233040	"COOKIE, OATMEAL, REDUCED FAT, NS AS TO RAISINS"	"Cookie, oatmeal, reduced fat, NS as to raisins"
53233050	"COOKIE, OATMEAL SANDWICH, WITH CREME FILLING"	"Cookie, oatmeal sandwich, with creme filling"
53233060	"COOKIE, OATMEAL, WITH CHOCOLATE CHIPS"	"Cookie, oatmeal, with chocolate chips"
53233080	"COOKIE, OATMEAL SANDWICH, WITH PEANUT BUTTER AND JELLY FILLI"	"Cookie, oatmeal sandwich, with peanut butter and jelly filling"
53233100	"COOKIE, OATMEAL, WITH CHOCOLATE AND PEANUT BUTTER, NO BAKE"	"Cookie, oatmeal, with chocolate and peanut butter, no bake"
53234000	"COOKIE, PEANUT BUTTER"	"Cookie, peanut butter"
53234100	"COOKIE, PEANUT BUTTER, WITH CHOCOLATE"	"Cookie, peanut butter, with chocolate"
53234250	"COOKIE, PEANUT BUTTER WITH RICE CEREAL, NO BAKE"	"Cookie, peanut butter with rice cereal, no bake"
53235000	"COOKIE, PEANUT BUTTER SANDWICH"	"Cookie, peanut butter sandwich"
53235500	"COOKIE, WITH PEANUT BUTTER FILLING, CHOCOLATE-COATED"	"Cookie, with peanut butter filling, chocolate-coated"
53235600	"COOKIE, PFEFFERNUSSE"	"Cookie, Pfeffernusse"
53236000	"COOKIE, PIZZELLE"	"Cookie, Pizzelle"
53236100	"COOKIE, PUMPKIN"	"Cookie, pumpkin"
53237000	"COOKIE, RAISIN"	"Cookie, raisin"
53237010	"COOKIE, RAISIN SANDWICH, CREAM-FILLED"	"Cookie, raisin sandwich, cream-filled"
53237500	"COOKIE, RUM BALL, NO BAKE"	"Cookie, rum ball, no bake"
53238000	"COOKIE, SANDWICH-TYPE, NOT CHOCOLATE OR VANILLA"	"Cookie, sandwich-type, not chocolate or vanilla"
53239000	"COOKIE, SHORTBREAD"	"Cookie, shortbread"
53239010	"COOKIE, SHORTBREAD, REDUCED FAT"	"Cookie, shortbread, reduced fat"
53239050	"COOKIE, SHORTBREAD, WITH ICING OR FILLING"	"Cookie, shortbread, with icing or filling"
53239100	"POCKY"	"Pocky"
53240000	"COOKIE, ANIMAL"	"Cookie, animal"
53240010	"COOKIE, ANIMAL, WITH FROSTING OR ICING"	"Cookie, animal, with frosting or icing"
53241500	"COOKIE, BUTTER OR SUGAR"	"Cookie, butter or sugar"
53241510	"MARIE BISCUIT"	"Marie biscuit"
53241600	"COOKIE, BUTTER OR SUGAR, WITH FRUIT AND_OR NUTS"	"Cookie, butter or sugar, with fruit and_or nuts"
53242000	"COOKIE, SUGAR WAFER"	"Cookie, sugar wafer"
53242500	"COOKIE, TOFFEE BAR"	"Cookie, toffee bar"
53243000	"COOKIE, VANILLA SANDWICH"	"Cookie, vanilla sandwich"
53243010	"COOKIE, VANILLA SANDWICH, EXTRA FILLING"	"Cookie, vanilla sandwich, extra filling"
53243050	"COOKIE, VANILLA SANDWICH, REDUCED FAT"	"Cookie, vanilla sandwich, reduced fat"
53244010	"COOKIE, BUTTER OR SUGAR, WITH CHOCOLATE ICING OR FILLING"	"Cookie, butter or sugar, with chocolate icing or filling"
53244020	"COOKIE, BUTTER OR SUGAR, WITH ICING OR FILLING OTHER THAN CH"	"Cookie, butter or sugar, with icing or filling other than chocolate"
53246000	"COOKIE, TEA, JAPANESE"	"Cookie, tea, Japanese"
53247000	"COOKIE, VANILLA WAFER"	"Cookie, vanilla wafer"
53247050	"COOKIE, VANILLA WAFER, REDUCED FAT"	"Cookie, vanilla wafer, reduced fat"
53247500	"COOKIE, VANILLA WITH CARAMEL, COCONUT, AND CHOCOLATE COATING"	"Cookie, vanilla with caramel, coconut, and chocolate coating"
53251100	"COOKIE, RUGELACH"	"Cookie, rugelach"
53260030	"COOKIE, CHOCOLATE CHIP, SUGAR FREE"	"Cookie, chocolate chip, sugar free"
53260200	"COOKIE, OATMEAL, SUGAR FREE"	"Cookie, oatmeal, sugar free"
53260300	"COOKIE, SANDWICH, SUGAR FREE"	"Cookie, sandwich, sugar free"
53260400	"COOKIE, SUGAR OR PLAIN, SUGAR FREE"	"Cookie, sugar or plain, sugar free"
53260500	"COOKIE, SUGAR WAFER, SUGAR FREE"	"Cookie, sugar wafer, sugar free"
53260600	"COOKIE, PEANUT BUTTER, SUGAR FREE"	"Cookie, peanut butter, sugar free"
53261000	"COOKIE, GLUTEN FREE"	"Cookie, gluten free"
53270100	"COOKIES, PUERTO RICAN STYLE"	"Cookies, Puerto Rican style"
53300100	"PIE, NFS"	"Pie, NFS"
53300170	"PIE, INDIVIDUAL SIZE OR TART, NFS"	"Pie, individual size or tart, NFS"
53300180	"PIE, FRIED, NFS"	"Pie, fried, NFS"
53301000	"PIE, APPLE, TWO CRUST"	"Pie, apple, two crust"
53301070	"PIE, APPLE, INDIVIDUAL SIZE OR TART"	"Pie, apple, individual size or tart"
53301080	"PIE, APPLE, FRIED PIE"	"Pie, apple, fried pie"
53301500	"PIE, APPLE, ONE CRUST"	"Pie, apple, one crust"
53301750	"PIE, APPLE, DIET"	"Pie, apple, diet"
53302000	"PIE, APRICOT, TWO CRUST"	"Pie, apricot, two crust"
53302070	"PIE, APRICOT, INDIVIDUAL SIZE OR TART"	"Pie, apricot, individual size or tart"
53302080	"PIE, APRICOT, FRIED PIE"	"Pie, apricot, fried pie"
53303000	"PIE, BLACKBERRY, TWO CRUST"	"Pie, blackberry, two crust"
53303070	"PIE, BLACKBERRY, INDIVIDUAL SIZE OR TART"	"Pie, blackberry, individual size or tart"
53303500	"PIE, BERRY, NOT BLACKBERRY, BLUEBERRY, BOYSENBERRY, HUCKLEBE"	"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry; two crust"
53303510	"PIE, BERRY, NOT BLACKBERRY, BLUEBERRY, BOYSENBERRY, HUCKLEBE"	"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry; one crust"
53303570	"PIE, BERRY, NOT BLACKBERRY, BLUEBERRY, BOYSENBERRY, HUCKLEBE"	"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry, individual size or tart"
53304000	"PIE, BLUEBERRY, TWO CRUST"	"Pie, blueberry, two crust"
53304050	"PIE, BLUEBERRY, ONE CRUST"	"Pie, blueberry, one crust"
53304070	"PIE, BLUEBERRY, INDIVIDUAL SIZE OR TART"	"Pie, blueberry, individual size or tart"
53305000	"PIE, CHERRY, TWO CRUST"	"Pie, cherry, two crust"
53305010	"PIE, CHERRY, ONE CRUST"	"Pie, cherry, one crust"
53305070	"PIE, CHERRY, INDIVIDUAL SIZE OR TART"	"Pie, cherry, individual size or tart"
53305080	"PIE, CHERRY, FRIED PIE"	"Pie, cherry, fried pie"
53305700	"PIE, LEMON, NOT CREAM OR MERINGUE"	"Pie, lemon, not cream or meringue"
53305720	"PIE, LEMON, NOT CREAM OR MERINGUE, INDIVIDUAL SIZE OR TART"	"Pie, lemon, not cream or meringue, individual size or tart"
53305750	"PIE, LEMON, FRIED PIE"	"Pie, lemon, fried pie"
53306000	"PIE, MINCE, TWO CRUST"	"Pie, mince, two crust"
53306070	"PIE, MINCE, INDIVIDUAL SIZE OR TART"	"Pie, mince, individual size or tart"
53307000	"PIE, PEACH, TWO CRUST"	"Pie, peach, two crust"
53307050	"PIE, PEACH, ONE CRUST"	"Pie, peach, one crust"
53307070	"PIE, PEACH, INDIVIDUAL SIZE OR TART"	"Pie, peach, individual size or tart"
53307080	"PIE, PEACH, FRIED PIE"	"Pie, peach, fried pie"
53307500	"PIE, PEAR, TWO CRUST"	"Pie, pear, two crust"
53307570	"PIE, PEAR, INDIVIDUAL SIZE OR TART"	"Pie, pear, individual size or tart"
53308000	"PIE, PINEAPPLE, TWO CRUST"	"Pie, pineapple, two crust"
53308070	"PIE, PINEAPPLE, INDIVIDUAL SIZE OR TART"	"Pie, pineapple, individual size or tart"
53308300	"PIE, PLUM, TWO CRUST"	"Pie, plum, two crust"
53308500	"PIE, PRUNE, ONE CRUST"	"Pie, prune, one crust"
53309000	"PIE, RAISIN, TWO CRUST"	"Pie, raisin, two crust"
53309070	"PIE, RAISIN, INDIVIDUAL SIZE OR TART"	"Pie, raisin, individual size or tart"
53310000	"PIE, RASPBERRY, ONE CRUST"	"Pie, raspberry, one crust"
53310050	"PIE, RASPBERRY, TWO CRUST"	"Pie, raspberry, two crust"
53311000	"PIE, RHUBARB, TWO CRUST"	"Pie, rhubarb, two crust"
53311050	"PIE, RHUBARB, ONE CRUST"	"Pie, rhubarb, one crust"
53311070	"PIE, RHUBARB, INDIVIDUAL SIZE OR TART"	"Pie, rhubarb, individual size or tart"
53312000	"PIE, STRAWBERRY, ONE CRUST"	"Pie, strawberry, one crust"
53313000	"PIE, STRAWBERRY-RHUBARB, TWO CRUST"	"Pie, strawberry-rhubarb, two crust"
53314000	"PIE, STRAWBERRY, INDIVIDUAL SIZE OR TART"	"Pie, strawberry, individual size or tart"
53340000	"PIE, APPLE-SOUR CREAM"	"Pie, apple-sour cream"
53340500	"PIE, CHERRY, MADE WITH CREAM CHEESE AND SOUR CREAM"	"Pie, cherry, made with cream cheese and sour cream"
53341000	"PIE, BANANA CREAM"	"Pie, banana cream"
53341070	"PIE, BANANA CREAM, INDIVIDUAL SIZE OR TART"	"Pie, banana cream, individual size or tart"
53341500	"PIE, BUTTERMILK"	"Pie, buttermilk"
53341750	"PIE, CHESS"	"Pie, chess"
53342000	"PIE, CHOCOLATE CREAM"	"Pie, chocolate cream"
53342070	"PIE, CHOCOLATE CREAM, INDIVIDUAL SIZE OR TART"	"Pie, chocolate cream, individual size or tart"
53343000	"PIE, COCONUT CREAM"	"Pie, coconut cream"
53343070	"PIE, COCONUT CREAM, INDIVIDUAL SIZE OR TART"	"Pie, coconut cream, individual size or tart"
53344000	"PIE, CUSTARD"	"Pie, custard"
53344070	"PIE, CUSTARD, INDIVIDUAL SIZE OR TART"	"Pie, custard, individual size or tart"
53344200	"MIXED FRUIT TART FILLED WITH CUSTARD OR CREAM CHEESE"	"Mixed fruit tart filled with custard or cream cheese"
53344300	"DESSERT PIZZA"	"Dessert pizza"
53345000	"PIE, LEMON CREAM"	"Pie, lemon cream"
53345070	"PIE, LEMON CREAM, INDIVIDUAL SIZE OR TART"	"Pie, lemon cream, individual size or tart"
53346000	"PIE, PEANUT BUTTER CREAM"	"Pie, peanut butter cream"
53346500	"PIE, PINEAPPLE CREAM"	"Pie, pineapple cream"
53347000	"PIE, PUMPKIN"	"Pie, pumpkin"
53347070	"PIE, PUMPKIN, INDIVIDUAL SIZE OR TART"	"Pie, pumpkin, individual size or tart"
53347100	"PIE, RASPBERRY CREAM"	"Pie, raspberry cream"
53347500	"PIE, SOUR CREAM, RAISIN"	"Pie, sour cream, raisin"
53347600	"PIE, SQUASH"	"Pie, squash"
53348000	"PIE, STRAWBERRY CREAM"	"Pie, strawberry cream"
53348070	"PIE, STRAWBERRY CREAM, INDIVIDUAL SIZE OR TART"	"Pie, strawberry cream, individual size or tart"
53360000	"PIE, SWEET POTATO"	"Pie, sweet potato"
53365000	"PIE, VANILLA CREAM"	"Pie, vanilla cream"
53366000	"PIE, YOGURT, FROZEN"	"Pie, yogurt, frozen"
53370000	"PIE, CHIFFON, NOT CHOCOLATE"	"Pie, chiffon, not chocolate"
53371000	"PIE, CHIFFON, CHOCOLATE"	"Pie, chiffon, chocolate"
53373000	"PIE, BLACK BOTTOM"	"Pie, black bottom"
53381000	"PIE, LEMON MERINGUE"	"Pie, lemon meringue"
53381070	"PIE, LEMON MERINGUE, INDIVIDUAL SIZE OR TART"	"Pie, lemon meringue, individual size or tart"
53382000	"PIE, CHOCOLATE-MARSHMALLOW"	"Pie, chocolate-marshmallow"
53385000	"PIE, PECAN"	"Pie, pecan"
53385070	"PIE, PECAN, INDIVIDUAL SIZE OR TART"	"Pie, pecan, individual size or tart"
53385500	"PIE, OATMEAL"	"Pie, oatmeal"
53386000	"PIE, PUDDING, FLAVORS OTHER THAN CHOCOLATE"	"Pie, pudding, flavors other than chocolate"
53386050	"PIE, PUDDING, FLAVORS OTHER THAN CHOCOLATE, INDIVIDUAL SIZE"	"Pie, pudding, flavors other than chocolate, individual size or tart"
53386250	"PIE, PUDDING, CHOCOLATE, WITH CHOCOLATE COATING, INDIVIDUAL"	"Pie, pudding, chocolate, with chocolate coating, individual size"
53386500	"PIE, PUDDING, FLAVORS OTHER THAN CHOCOLATE, WITH CHOCOLATE C"	"Pie, pudding, flavors other than chocolate, with chocolate coating, individual size"
53387000	"PIE, TOLL HOUSE CHOCOLATE CHIP"	"Pie, Toll house chocolate chip"
53390000	"PIE, SHOO-FLY"	"Pie, shoo-fly"
53390100	"PIE, TOFU WITH FRUIT"	"Pie, tofu with fruit"
53391000	"PIE SHELL"	"Pie shell"
53391100	"PIE SHELL, GRAHAM CRACKER"	"Pie shell, graham cracker"
53391150	"PIE SHELL, CHOCOLATE WAFER"	"Pie shell, chocolate wafer"
53391200	"VANILLA WAFER DESSERT BASE"	"Vanilla wafer dessert base"
53400200	"BLINTZ, CHEESE-FILLED"	"Blintz, cheese-filled"
53400300	"BLINTZ, FRUIT-FILLED"	"Blintz, fruit-filled"
53410100	"COBBLER, APPLE"	"Cobbler, apple"
53410200	"COBBLER, APRICOT"	"Cobbler, apricot"
53410300	"COBBLER, BERRY"	"Cobbler, berry"
53410500	"COBBLER, CHERRY"	"Cobbler, cherry"
53410800	"COBBLER, PEACH"	"Cobbler, peach"
53410850	"COBBLER, PEAR"	"Cobbler, pear"
53410860	"COBBLER, PINEAPPLE"	"Cobbler, pineapple"
53410880	"COBBLER, PLUM"	"Cobbler, plum"
53410900	"COBBLER, RHUBARB"	"Cobbler, rhubarb"
53415100	"CRISP, APPLE, APPLE DESSERT"	"Crisp, apple, apple dessert"
53415120	"FRITTER, APPLE"	"Fritter, apple"
53415200	"FRITTER, BANANA"	"Fritter, banana"
53415220	"FRITTER, BERRY"	"Fritter, berry"
53415300	"CRISP, BLUEBERRY"	"Crisp, blueberry"
53415400	"CRISP, CHERRY"	"Crisp, cherry"
53415500	"CRISP, PEACH"	"Crisp, peach"
53415600	"CRISP, RHUBARB"	"Crisp, rhubarb"
53420000	"CREAM PUFF, ECLAIR, CUSTARD OR CREAM FILLED, NS AS TO ICING"	"Cream puff, eclair, custard or cream filled, NS as to icing"
53420100	"CREAM PUFF, ECLAIR, CUSTARD OR CREAM FILLED, NOT ICED"	"Cream puff, eclair, custard or cream filled, not iced"
53420200	"CREAM PUFF, ECLAIR, CUSTARD OR CREAM FILLED, ICED"	"Cream puff, eclair, custard or cream filled, iced"
53420210	"CREAM PUFF, ECLAIR, CUSTARD OR CREAM FILLED, ICED, REDUCED F"	"Cream puff, eclair, custard or cream filled, iced, reduced fat"
53420250	"CREAM PUFF, NO FILLING OR ICING"	"Cream puff, no filling or icing"
53420300	"AIR FILLED FRITTER OR FRIED PUFF, WITHOUT SYRUP, PUERTO RICA"	"Air filled fritter or fried puff, without syrup, Puerto Rican style"
53420310	"WHEAT FLOUR FRITTER, WITHOUT SYRUP"	"Wheat flour fritter, without syrup"
53420400	"SOPAIPILLA, WITHOUT SYRUP OR HONEY"	"Sopaipilla, without syrup or honey"
53420410	"SOPAIPILLA WITH SYRUP OR HONEY"	"Sopaipilla with syrup or honey"
53430000	"CREPE, NS AS TO FILLING"	"Crepe, NS as to filling"
53430100	"CREPE, CHOCOLATE FILLED"	"Crepe, chocolate filled"
53430200	"CREPE, FRUIT FILLED"	"Crepe, fruit filled"
53430700	"TAMALE, SWEET"	"Tamale, sweet"
53430750	"TAMALE, SWEET, WITH FRUIT"	"Tamale, sweet, with fruit"
53440000	"STRUDEL, APPLE"	"Strudel, apple"
53440300	"STRUDEL, BERRY"	"Strudel, berry"
53440500	"STRUDEL, CHERRY"	"Strudel, cherry"
53440600	"STRUDEL, CHEESE"	"Strudel, cheese"
53440700	"STRUDEL, PEACH"	"Strudel, peach"
53440750	"STRUDEL, PINEAPPLE"	"Strudel, pineapple"
53440800	"STRUDEL, CHEESE AND FRUIT"	"Strudel, cheese and fruit"
53441110	"BAKLAVA"	"Baklava"
53441210	"BASBOUSA"	"Basbousa"
53450000	"TURNOVER OR DUMPLING, APPLE"	"Turnover or dumpling, apple"
53450300	"TURNOVER OR DUMPLING, BERRY"	"Turnover or dumpling, berry"
53450500	"TURNOVER OR DUMPLING, CHERRY"	"Turnover or dumpling, cherry"
